163;Turboblaze;Turbollama
164;Teravolt;Terravoltaje
165;Aroma Veil;Velo aroma
166;Flower Veil;Velo flor
167;Cheek Pouch;Carrillo
168;Protean;Mutatipo
169;Fur Coat;Pelaje recio
170;Magician;Prestidigitador
171;Bulletproof;Antibalas
172;Competitive;Tenacidad
173;Strong Jaw;Mandíbula fuerte
174;Refrigerate;Piel helada
175;Sweet Veil;Velo dulce
176;Stance Change;Cambio táctico
177;Gale Wings;Alas vendaval
178;Mega Launcher;Megadisparador
179;Grass Pelt;Manto frondoso
180;Symbiosis;Simbiosis
181;Tough Claws;Garra dura
182;Pixilate;Piel feérica
183;Gooey;Baba
184;Aerilate;Piel celeste
185;Parental Bond;Amor filial
186;Dark Aura;Aura oscura
187;Fairy Aura;Aura feérica
188;Aura Break;Rompeaura
189;Primordial Sea;Mar del albor
190;Desolate Land;Tierra del ocaso
191;Delta Stream;Ráfaga delta
192;Stamina;Firmeza
193;Wimp Out;Huida
194;Emergency Exit;Retirada
195;Water Compaction;Hidrorrefuerzo
196;Merciless;Ensañamiento
197;Shields Down;Escudo limitado
198;Stakeout;Vigilante
199;Water Bubble;Pompa
200;Steelworker;Acero templado
201;Berserk;Cólera
202;Slush Rush;Quitanieves
203;Long Reach;Remoto
204;Liquid Voice;Voz fluida
205;Triage;Primer auxilio
206;Galvanize;Piel eléctrica
207;Surge Surfer;Cola surf
208;Schooling;Banco
209;Disguise;Disfraz
210;Battle Bond;Fuerte afecto
211;Power Construct;Agrupamiento
212;Corrosion;Corrosión
213;Comatose;Letargo perenne
214;Queenly Majesty;Regia presencia
215;Innards Out;Revés
216;Dancer;Pareja de baile
217;Battery;Batería
218;Fluffy;Peluche
219;Dazzling;Cuerpo vívido
220;Soul-Heart;Coránima
221;Tangling Hair;Rizos rebeldes
222;Receiver;Receptor
223;Power of Alchemy;Reacción química
224;Beast Boost;Ultraimpulso
225;RKS System;Sistema alfa
226;Electric Surge;Electrogénesis
227;Psychic Surge;Psicogénesis
228;Misty Surge;Nebulogénesis
229;Grassy Surge;Herbogénesis
230;Full Metal Body;Guardia metálica
231;Shadow Shield;Guardia espectro
232;Prism Armor;Armadura prisma
233;Neuroforce;Fuerza cerebral
234;Intrepid Sword;Espada indómita
235;Dauntless Shield;Escudo recio
236;Libero;Líbero
237;Ball Fetch;Recogebolas
238;Cotton Down;Pelusa
239;Propeller Tail;Hélice caudal
240;Mirror Armor;Coraza reflejo
241;Gulp Missile;Tragamisil
242;Stalwart;Acérrimo
243;Steam Engine;Combustible
244;Punk Rock;Punk rock
245;Sand Spit;Expulsarena
246;Ice Scales;Escama de hielo
247;Ripen;Maduración
248;Ice Face;Cara de hielo
249;Power Spot;Fuente energía
250;Mimicry;Mimetismo
251;Screen Cleaner;Antibarrera
252;Steely Spirit;Alma acerada
253;Perish Body;Cuerpo mortal
254;Wandering Spirit;Alma errante
255;Gorilla Tactics;Monotema
256;Neutralizing Gas;Gas reactivo
257;Pastel Veil;Velo pastel
258;Hunger Switch;Mutapetito
259;Quick Draw;Mano rápida
260;Unseen Fist;Puño invisible
261;Curious Medicine;Medicina extraña
262;Transistor;Transistor
263;Dragon's Maw;Mandíbula dragón
264;Chilling Neigh;Relincho blanco
265;Grim Neigh;Relincho negro
266;As One;Unidad ecuestre
267;As One;Unidad ecuestre
